"","currentLAlabel","AtoC_12_16","DtoG_12_16","AtoC_13_17","DtoG_13_17","AtoC_14_18","DtoG_14_18","AtoC_15_19","DtoG_15_19","AtoC_16_20","DtoG_16_20","AtoC_17_21","DtoG_17_21","AtoC_18_22","DtoG_18_22","tenureclean"
"1","York",1086,2223,912,1947,1365,2533,2096,3356,2689,3936,3317,4498,3815,4751,"rental (private)"
"2","Wyre Forest",366,1164,376,1035,369,939,520,1117,654,1358,772,1525,858,1658,"rental (private)"
"3","Wyre",469,3186,465,3189,431,2679,623,2424,745,2143,934,2023,985,2012,"rental (private)"
"4","Wychavon",418,1188,400,1127,401,1153,577,1405,725,1615,1177,1801,1909,2096,"rental (private)"
"5","Wrexham",451,1612,403,1444,443,1308,629,1534,777,1666,972,1809,1029,1888,"rental (private)"
"6","Worthing",407,1793,375,1657,478,1934,721,2066,900,2228,1147,2430,1287,2491,"rental (private)"
"7","Worcester",551,1751,515,1670,600,1458,907,1523,1118,1698,1374,1824,1589,1932,"rental (private)"
"8","Wolverhampton",1341,6660,1295,6294,1327,5602,1343,4451,1300,3673,1476,3443,1751,3525,"rental (private)"
"9","Wokingham",477,1071,420,874,464,964,763,1287,1129,1641,1424,1854,1570,1945,"rental (private)"
"10","Woking",444,753,333,647,430,855,845,1101,1120,1280,1625,1540,2376,1696,"rental (private)"
"11","Wirral",1818,8377,1761,8386,1831,6922,2273,6247,2670,6045,3132,5899,3491,5882,"rental (private)"
"12","Windsor and Maidenhead",697,1809,620,1574,680,1656,1197,2185,1537,2522,1825,2685,2043,2834,"rental (private)"
"13","Winchester",409,988,335,887,471,1099,864,1525,1110,1757,1362,1948,1613,2016,"rental (private)"
"14","Wiltshire",1719,4537,1655,4458,1967,5157,3066,6636,4102,7820,5269,8807,5893,8916,"rental (private)"
"15","Wigan",1263,5507,1069,5122,1005,3814,1484,3679,2215,3647,2789,3644,3476,4165,"rental (private)"
"16","Westminster",5420,8049,4494,6930,4899,7147,7113,8582,9299,9942,11501,10712,13088,10771,"rental (private)"
"17","West Suffolk",682,2466,591,2515,810,2906,1533,3291,2160,3725,2804,4151,3480,4451,"rental (private)"
"18","West Oxfordshire",531,968,361,977,294,1183,663,1670,1051,2125,1423,2514,1620,2557,"rental (private)"
"19","West Northamptonshire",1579,4088,1547,4080,2203,5270,3339,6481,4354,7348,5002,7489,4971,6990,"rental (private)"
"20","West Lindsey",302,1790,265,1782,287,1835,463,1950,739,2113,920,1866,1060,1925,"rental (private)"
"21","West Lancashire",419,1663,409,1693,397,1430,402,1082,391,863,475,842,552,852,"rental (private)"
"22","West Devon",261,798,235,764,212,824,295,957,391,1115,487,1240,559,1264,"rental (private)"
"23","West Berkshire",675,1997,609,1927,672,2182,981,2434,1288,2787,1553,2879,1746,2860,"rental (private)"
"24","Welwyn Hatfield",725,1019,652,924,769,1100,1121,1312,1413,1335,1959,1398,2128,1404,"rental (private)"
"25","Wealden",362,1366,301,1190,360,1205,497,1309,598,1393,807,1484,982,1605,"rental (private)"
"26","Waverley",411,1108,340,969,403,1014,538,1144,683,1246,839,1311,1008,1355,"rental (private)"
"27","Watford",665,1044,580,991,680,1112,1086,1458,1411,1799,1912,2144,2234,2241,"rental (private)"
"28","Warwick",779,2068,639,1788,893,2142,1504,2755,1967,3091,2327,3256,2544,3393,"rental (private)"
"29","Warrington",716,2028,668,1943,905,1761,1426,1876,1815,1937,2408,2082,2709,2198,"rental (private)"
"30","Wandsworth",3832,6752,3496,5889,3739,6036,5731,8070,7567,9580,9213,10340,10105,10398,"rental (private)"
"31","Waltham Forest",2350,8600,2374,8701,2530,8552,3374,9439,4098,8788,4917,9172,5436,8840,"rental (private)"
"32","Walsall",926,3983,848,3830,895,3578,1121,3212,1776,3441,2073,3410,2358,3416,"rental (private)"
"33","Wakefield",1006,4304,901,4087,1183,4007,1836,3932,2242,4080,2684,4214,3095,4493,"rental (private)"
"34","Vale of White Horse",537,955,503,873,527,1103,805,1493,1034,1791,1293,2022,1524,2134,"rental (private)"
"35","Vale of Glamorgan",491,1831,457,1744,545,1728,761,1757,1053,1891,1391,2193,1530,2282,"rental (private)"
"36","Uttlesford",218,742,197,617,266,733,319,890,397,1102,504,1177,563,1196,"rental (private)"
"37","Tunbridge Wells",441,1435,389,1290,439,1457,640,1686,850,1922,1035,2174,1185,2259,"rental (private)"
"38","Trafford",971,2908,882,2825,993,2815,1368,2966,1774,3036,2150,3041,2480,3135,"rental (private)"
"39","Tower Hamlets",5840,4058,5233,3813,5632,4097,9513,4920,12952,5588,15887,6054,17888,6149,"rental (private)"
"40","Torridge",212,1062,199,1047,228,1095,299,1371,406,1526,564,1562,682,1612,"rental (private)"
"41","Torfaen",199,758,183,698,167,598,200,574,309,657,376,660,455,700,"rental (private)"
"42","Torbay",1105,3640,1074,3599,1153,3513,1386,3750,1628,4103,1880,4453,2095,4419,"rental (private)"
"43","Tonbridge and Malling",284,848,232,862,274,934,423,1067,607,1192,823,1302,1036,1359,"rental (private)"
"44","Thurrock",912,1740,771,1637,750,1483,1054,1800,1329,2033,1645,2268,1957,2363,"rental (private)"
"45","Three Rivers",346,529,295,445,303,517,447,632,590,703,762,817,908,907,"rental (private)"
"46","Thanet",897,3076,835,2909,852,2941,1078,3099,1477,3682,1870,3992,2103,4028,"rental (private)"
"47","Tewkesbury",321,670,268,631,272,693,392,940,638,1060,835,1188,1024,1276,"rental (private)"
"48","Test Valley",461,1040,396,952,440,1097,720,1395,912,1509,1101,1638,1218,1689,"rental (private)"
"49","Tendring",717,2231,602,2109,644,2123,718,2710,970,3258,1193,3637,1434,3850,"rental (private)"
"50","Telford and Wrekin",1146,2804,1118,2638,1079,2178,1524,1968,1873,1930,2381,2048,2704,2204,"rental (private)"
"51","Teignbridge",530,1970,469,1894,519,1940,653,2043,784,2259,993,2437,1131,2464,"rental (private)"
"52","Tandridge",286,661,243,580,257,634,331,658,438,814,544,860,626,897,"rental (private)"
"53","Tamworth",253,641,221,584,236,495,241,454,362,526,452,557,549,606,"rental (private)"
"54","Tameside",1184,4166,1334,4091,1381,3384,1494,2908,1665,2670,2016,2598,2080,2732,"rental (private)"
"55","Swindon",1495,2044,1345,1905,1169,1653,1805,1797,2527,2059,3294,2353,3767,2457,"rental (private)"
"56","Swansea",953,3816,990,3594,1218,3588,1809,3883,2376,4148,3439,4441,3738,4645,"rental (private)"
"57","Swale",468,1790,418,1764,472,1751,752,2106,1080,2385,1322,2583,1595,2660,"rental (private)"
"58","Sutton",1008,2092,943,1862,1046,1990,1461,2393,1837,2687,2377,2925,2597,2997,"rental (private)"
"59","Surrey Heath",305,654,249,599,341,644,537,680,682,779,791,846,875,844,"rental (private)"
"60","Sunderland",1324,5706,1218,5668,1108,4478,1271,3608,1697,3506,2047,3318,2447,3409,"rental (private)"
"61","Stroud",344,1050,310,951,347,984,513,1201,702,1455,867,1638,973,1724,"rental (private)"
"62","Stratford-on-Avon",479,1650,420,1546,494,1744,610,1985,815,2067,987,2287,1156,2338,"rental (private)"
"63","Stoke-on-Trent",941,5715,873,5429,1020,4793,1420,4321,1812,4313,2292,4374,2735,4578,"rental (private)"
"64","Stockton-on-Tees",1046,4362,924,4293,1169,3458,1416,2815,1701,2553,2078,2314,2309,2311,"rental (private)"
"65","Stockport",963,3849,918,3701,955,3398,1130,3379,1276,3468,1482,3382,1735,3454,"rental (private)"
"66","Stevenage",342,603,338,580,321,590,457,721,588,768,781,814,862,835,"rental (private)"
"67","Staffordshire Moorlands",180,844,162,760,188,770,248,828,329,898,391,950,453,1047,"rental (private)"
"68","Stafford",430,1432,424,1414,476,1418,604,1558,770,1637,937,1762,1009,1782,"rental (private)"
"69","St. Helens",597,2825,530,2650,555,2152,857,2082,1068,2033,1360,2142,1589,2275,"rental (private)"
"70","St Albans",608,1318,651,1206,691,1209,948,1441,1354,1757,1701,2069,1840,2102,"rental (private)"
"71","Spelthorne",740,1089,690,957,586,954,660,1074,812,1218,1025,1358,1134,1447,"rental (private)"
"72","Southwark",3794,4867,3367,4403,3586,4158,4797,4757,6593,5428,8008,6005,9026,6169,"rental (private)"
"73","Southend-on-Sea",702,4065,633,3855,748,3795,1075,4198,1578,5018,1991,5603,2418,6100,"rental (private)"
"74","Southampton",2106,4166,2037,4039,2551,4502,3915,5647,4936,6189,5794,6807,6165,6837,"rental (private)"
"75","South Tyneside",430,1780,428,1833,430,1453,486,1314,665,1331,827,1331,971,1299,"rental (private)"
"76","South Staffordshire",334,914,312,828,308,795,295,860,323,898,382,905,444,934,"rental (private)"
"77","South Somerset",593,1519,518,1390,574,1549,904,1915,1212,2257,1596,2616,1837,2662,"rental (private)"
"78","South Ribble",327,1077,295,1051,337,973,469,947,564,935,721,958,837,983,"rental (private)"
"79","South Oxfordshire",450,1245,391,1114,386,1399,651,1905,929,2300,1218,2523,1386,2597,"rental (private)"
"80","South Norfolk",376,1240,294,1138,344,1235,527,1586,730,1774,902,1910,1049,2075,"rental (private)"
"81","South Lakeland",284,1317,252,1240,273,1378,367,1622,513,1828,745,2149,829,2197,"rental (private)"
"82","South Kesteven",497,1525,394,1407,524,1546,825,2007,1054,2330,1644,2599,1908,2708,"rental (private)"
"83","South Holland",299,1079,251,1025,241,1075,370,1172,486,1193,649,1248,767,1398,"rental (private)"
"84","South Hams",415,1466,366,1349,377,1369,454,1432,550,1584,648,1777,743,1780,"rental (private)"
"85","South Gloucestershire",1403,2603,1236,2367,1196,2324,1523,2496,2143,2789,2824,3107,3290,3232,"rental (private)"
"86","South Derbyshire",314,816,281,774,313,904,513,1194,773,1417,1002,1494,1162,1502,"rental (private)"
"87","South Cambridgeshire",560,1396,536,1335,604,1457,865,1683,1126,1718,1370,1759,1508,1814,"rental (private)"
"88","Somerset West and Taunton",687,2194,567,1991,605,2154,923,2523,1170,2797,1547,3024,1805,3128,"rental (private)"
