"","currentLAlabel","AtoC_12_16","DtoG_12_16","AtoC_13_17","DtoG_13_17","AtoC_14_18","DtoG_14_18","AtoC_15_19","DtoG_15_19","AtoC_16_20","DtoG_16_20","AtoC_17_21","DtoG_17_21","AtoC_18_22","DtoG_18_22","tenureclean","AtoCchangeSince13_17","DtoGchangeSince13_17"
"1","York",0.328195829555757,0.671804170444243,0.318992654774397,0.681007345225603,0.350179579271421,0.649820420728579,0.384446074834923,0.615553925165077,0.40588679245283,0.59411320754717,0.424440179142674,0.575559820857326,0.445365398085454,0.554634601914546,"rental (private)",0.126372743311057,-0.126372743311058
"2","Wyre Forest",0.23921568627451,0.76078431372549,0.266477675407512,0.733522324592488,0.282110091743119,0.717889908256881,0.317654245571167,0.682345754428833,0.325049701789264,0.674950298210736,0.336090552895081,0.66390944710492,0.341017488076312,0.658982511923688,"rental (private)",0.0745398126687992,-0.0745398126687992
"3","Wyre",0.128317373461012,0.871682626538988,0.127257799671593,0.872742200328407,0.138585209003215,0.861414790996785,0.204463406629472,0.795536593370528,0.257963988919668,0.742036011080332,0.315860669597565,0.684139330402435,0.328661995328662,0.671338004671338,"rental (private)",0.201404195657069,-0.201404195657069
"4","Wychavon",0.26027397260274,0.73972602739726,0.261951538965291,0.738048461034709,0.258043758043758,0.741956241956242,0.291120080726539,0.708879919273461,0.30982905982906,0.69017094017094,0.395231699126931,0.604768300873069,0.47665418227216,0.52334581772784,"rental (private)",0.214702643306868,-0.214702643306868
"5","Wrexham",0.218613669413476,0.781386330586525,0.218191662154846,0.781808337845154,0.252998286693318,0.747001713306682,0.29079981507166,0.70920018492834,0.318051575931232,0.681948424068768,0.349514563106796,0.650485436893204,0.352759684607473,0.647240315392527,"rental (private)",0.134568022452628,-0.134568022452628
"6","Worthing",0.185,0.815,0.184547244094488,0.815452755905512,0.198175787728027,0.801824212271973,0.25870111230714,0.74129888769286,0.28772378516624,0.71227621483376,0.320659770757618,0.679340229242382,0.34065643197459,0.65934356802541,"rental (private)",0.156109187880102,-0.156109187880102
"7","Worcester",0.239357080799305,0.760642919200695,0.235697940503432,0.764302059496567,0.291545189504373,0.708454810495627,0.373251028806584,0.626748971193416,0.397017045454545,0.602982954545455,0.429643527204503,0.570356472795497,0.451292246520875,0.548707753479125,"rental (private)",0.215594306017442,-0.215594306017442
"8","Wolverhampton",0.167604049493813,0.832395950506187,0.170641718276453,0.829358281723547,0.191513926973589,0.808486073026411,0.231791508457025,0.768208491542976,0.26141162276292,0.73858837723708,0.300060988005692,0.699939011994308,0.331880212282032,0.668119787717968,"rental (private)",0.161238494005579,-0.161238494005579
"9","Wokingham",0.308139534883721,0.691860465116279,0.324574961360124,0.675425038639876,0.324929971988796,0.675070028011205,0.37219512195122,0.62780487804878,0.407581227436823,0.592418772563177,0.434411226357535,0.565588773642465,0.446657183499289,0.553342816500711,"rental (private)",0.122082222139165,-0.122082222139165
"10","Woking",0.370927318295739,0.629072681704261,0.339795918367347,0.660204081632653,0.334630350194553,0.665369649805447,0.434224049331963,0.565775950668037,0.466666666666667,0.533333333333333,0.513428120063191,0.486571879936809,0.583497053045187,0.416502946954813,"rental (private)",0.24370113467784,-0.24370113467784
"11","Wirral",0.178322707209416,0.821677292790584,0.173548832167143,0.826451167832857,0.20918542214098,0.79081457785902,0.266784037558685,0.733215962441315,0.306368330464716,0.693631669535284,0.346805447901672,0.653194552098328,0.372452789928518,0.627547210071482,"rental (private)",0.198903957761375,-0.198903957761375
"12","Windsor and Maidenhead",0.278132482043097,0.721867517956903,0.282588878760255,0.717411121239745,0.291095890410959,0.708904109589041,0.353932584269663,0.646067415730337,0.378664695737866,0.621335304262134,0.404656319290466,0.595343680709534,0.418905064588887,0.581094935411113,"rental (private)",0.136316185828631,-0.136316185828631
"13","Winchester",0.29277022190408,0.70722977809592,0.274140752864157,0.725859247135843,0.3,0.7,0.361657597321055,0.638342402678945,0.387164283222881,0.612835716777119,0.411480362537764,0.588519637462236,0.444475062000551,0.555524937999449,"rental (private)",0.170334309136394,-0.170334309136394
"14","Wiltshire",0.27477621483376,0.72522378516624,0.270734500245379,0.729265499754621,0.276108927568782,0.723891072431218,0.316017316017316,0.683982683982684,0.344069786948499,0.655930213051501,0.374325092355783,0.625674907644217,0.397933688972922,0.602066311027078,"rental (private)",0.127199188727543,-0.127199188727543
"15","Wigan",0.186558345642541,0.813441654357459,0.172670004845744,0.827329995154256,0.208549491595767,0.791450508404233,0.287429788882433,0.712570211117567,0.377857386557489,0.622142613442511,0.433545779574071,0.566454220425929,0.454914278235833,0.545085721764167,"rental (private)",0.282244273390089,-0.282244273390089
"16","Westminster",0.402405523795382,0.597594476204618,0.393382352941176,0.606617647058823,0.406691017765233,0.593308982234767,0.453201656578528,0.546798343421472,0.483290889246921,0.516709110753079,0.517759870346194,0.482240129653806,0.54855610042332,0.45144389957668,"rental (private)",0.155173747482144,-0.155173747482144
"17","West Suffolk",0.216645489199492,0.783354510800508,0.190276883451384,0.809723116548616,0.217976318622174,0.782023681377826,0.317786069651741,0.682213930348259,0.367034834324554,0.632965165675446,0.403163191948239,0.596836808051761,0.438784516454419,0.561215483545581,"rental (private)",0.248507633003035,-0.248507633003035
"18","West Oxfordshire",0.354236157438292,0.645763842561708,0.269805680119581,0.730194319880418,0.199052132701422,0.800947867298578,0.284183454779254,0.715816545220746,0.330919395465995,0.669080604534005,0.361442722885446,0.638557277114554,0.387838161359828,0.612161838640172,"rental (private)",0.118032481240246,-0.118032481240246
"19","West Northamptonshire",0.278630668784189,0.721369331215811,0.274924471299094,0.725075528700906,0.29479459387127,0.70520540612873,0.340020366598778,0.659979633401222,0.372073149888908,0.627926850111092,0.400448322792411,0.59955167720759,0.415600702282418,0.584399297717582,"rental (private)",0.140676230983324,-0.140676230983324
"20","West Lindsey",0.144359464627151,0.855640535372849,0.129457743038593,0.870542256961407,0.135249764373233,0.864750235626767,0.191877331123083,0.808122668876917,0.259116409537167,0.740883590462833,0.330222541277818,0.669777458722182,0.355108877721943,0.644891122278057,"rental (private)",0.22565113468335,-0.22565113468335
"21","West Lancashire",0.201248799231508,0.798751200768492,0.194576593720266,0.805423406279734,0.217296113847838,0.782703886152162,0.27088948787062,0.72911051212938,0.311802232854864,0.688197767145136,0.360668185269552,0.639331814730448,0.393162393162393,0.606837606837607,"rental (private)",0.198585799442127,-0.198585799442127
"22","West Devon",0.246458923512748,0.753541076487252,0.235235235235235,0.764764764764765,0.204633204633205,0.795366795366795,0.235623003194888,0.764376996805112,0.259628154050465,0.740371845949535,0.281991893456862,0.718008106543138,0.306637410861218,0.693362589138782,"rental (private)",0.0714021756259825,-0.0714021756259825
"23","West Berkshire",0.252619760479042,0.747380239520958,0.240141955835962,0.759858044164038,0.235459004905396,0.764540995094604,0.287262079062958,0.712737920937042,0.316073619631902,0.683926380368098,0.350406137184116,0.649593862815884,0.379070777247069,0.620929222752931,"rental (private)",0.138928821411107,-0.138928821411107
"24","Welwyn Hatfield",0.415711009174312,0.584288990825688,0.413705583756345,0.586294416243655,0.411449973247726,0.588550026752274,0.460748047677764,0.539251952322236,0.514192139737991,0.485807860262009,0.583556747095621,0.416443252904379,0.602491506228766,0.397508493771234,"rental (private)",0.18878592247242,-0.18878592247242
"25","Wealden",0.209490740740741,0.790509259259259,0.2018779342723,0.7981220657277,0.230031948881789,0.769968051118211,0.275193798449612,0.724806201550388,0.300351582119538,0.699648417880462,0.352247926669577,0.647752073330423,0.379590258987244,0.620409741012756,"rental (private)",0.177712324714943,-0.177712324714943
"26","Waverley",0.270572745227123,0.729427254772877,0.25974025974026,0.74025974025974,0.284403669724771,0.715596330275229,0.319857312722949,0.680142687277051,0.354069466044583,0.645930533955417,0.390232558139535,0.609767441860465,0.426576385950063,0.573423614049936,"rental (private)",0.166836126209804,-0.166836126209804
"27","Watford",0.389116442363956,0.610883557636045,0.369191597708466,0.630808402291534,0.379464285714286,0.620535714285714,0.42688679245283,0.57311320754717,0.439563862928349,0.560436137071651,0.471400394477318,0.528599605522682,0.499217877094972,0.500782122905028,"rental (private)",0.130026279386506,-0.130026279386506
"28","Warwick",0.273621355813137,0.726378644186863,0.263288009888752,0.736711990111248,0.294233937397035,0.705766062602965,0.35313453862409,0.64686546137591,0.388888888888889,0.611111111111111,0.416801003044958,0.583198996955042,0.428499242041435,0.571500757958565,"rental (private)",0.165211232152684,-0.165211232152684
"29","Warrington",0.260932944606414,0.739067055393586,0.255840674071237,0.744159325928763,0.339459864966242,0.660540135033758,0.431859479103574,0.568140520896426,0.483742004264392,0.516257995735608,0.53630289532294,0.46369710467706,0.55206847360913,0.44793152639087,"rental (private)",0.296227799537893,-0.296227799537893
"30","Wandsworth",0.362055933484505,0.637944066515495,0.372509323388386,0.627490676611614,0.382506393861893,0.617493606138107,0.415259763785233,0.584740236214767,0.441301685426022,0.558698314573978,0.471180892957602,0.528819107042398,0.492854704189631,0.507145295810369,"rental (private)",0.120345380801245,-0.120345380801245
"31","Waltham Forest",0.214611872146119,0.785388127853881,0.214356659142212,0.785643340857788,0.22829814112976,0.77170185887024,0.263326309217201,0.736673690782799,0.318019556107403,0.681980443892597,0.348995670381148,0.651004329618852,0.380778929672177,0.619221070327823,"rental (private)",0.166422270529965,-0.166422270529965
"32","Walsall",0.188633122835608,0.811366877164392,0.181274048738777,0.818725951261223,0.200089425441538,0.799910574558462,0.258712208631433,0.741287791368567,0.340425531914894,0.659574468085106,0.378077694692686,0.621922305307314,0.40838240387946,0.59161759612054,"rental (private)",0.227108355140682,-0.227108355140682
"33","Wakefield",0.189453860640301,0.810546139359699,0.180633520449078,0.819366479550922,0.227938342967245,0.772061657032755,0.318307905686546,0.681692094313454,0.354634609300854,0.645365390699146,0.389098289359235,0.610901710640765,0.407880864522931,0.592119135477069,"rental (private)",0.227247344073853,-0.227247344073853
"34","Vale of White Horse",0.359919571045576,0.640080428954424,0.365552325581395,0.634447674418605,0.323312883435583,0.676687116564417,0.350304612706701,0.649695387293299,0.366017699115044,0.633982300884956,0.390045248868778,0.609954751131222,0.41662110442865,0.58337889557135,"rental (private)",0.0510687788472542,-0.0510687788472541
"35","Vale of Glamorgan",0.2114556416882,0.7885443583118,0.207632894139028,0.792367105860972,0.239771227452706,0.760228772547294,0.302223987291501,0.697776012708499,0.357676630434783,0.642323369565217,0.388113839285714,0.611886160714286,0.401364113326338,0.598635886673662,"rental (private)",0.19373121918731,-0.19373121918731
"36","Uttlesford",0.227083333333333,0.772916666666667,0.242014742014742,0.757985257985258,0.266266266266266,0.733733733733734,0.263854425144748,0.736145574855252,0.264843228819213,0.735156771180787,0.299821534800714,0.700178465199286,0.320068220579875,0.679931779420125,"rental (private)",0.0780534785651329,-0.0780534785651329
"37","Tunbridge Wells",0.235074626865672,0.764925373134328,0.231685527099464,0.768314472900536,0.231540084388186,0.768459915611814,0.275150472914875,0.724849527085125,0.306637806637807,0.693362193362193,0.322530383296977,0.677469616703023,0.344076655052265,0.655923344947735,"rental (private)",0.112391127952801,-0.112391127952801
"38","Trafford",0.250322248002062,0.749677751997938,0.237928243862962,0.762071756137038,0.260766806722689,0.739233193277311,0.315643747115828,0.684356252884172,0.368814968814969,0.631185031185031,0.414178385667501,0.585821614332499,0.441674087266251,0.558325912733749,"rental (private)",0.203745843403289,-0.203745843403289
"39","Tower Hamlets",0.590018185492019,0.409981814507981,0.578487729383153,0.421512270616847,0.578887861034022,0.421112138965978,0.659114529203908,0.340885470796092,0.698597626752967,0.301402373247033,0.724078209744314,0.275921790255686,0.744186046511628,0.255813953488372,"rental (private)",0.165698317128475,-0.165698317128475
"40","Torridge",0.166405023547881,0.833594976452119,0.159711075441413,0.840288924558588,0.172335600907029,0.827664399092971,0.179041916167665,0.820958083832335,0.210144927536232,0.789855072463768,0.265286923800564,0.734713076199436,0.297297297297297,0.702702702702703,"rental (private)",0.137586221855885,-0.137586221855885
