"","insp_yr","CURRENT_ENERGY_RATING","LOCAL_AUTHORITY_LABEL","tenureclean","certs_count","ratingband"
"1",2022,"A","","rental (private)",5,"A-C"
"2",2022,"B","","rental (private)",222,"A-C"
"3",2022,"C","","rental (private)",140,"A-C"
"4",2022,"D","","rental (private)",15,"D-G"
"5",2022,"B","Aberdeen City","rental (private)",161,"A-C"
"6",2022,"C","Aberdeen City","rental (private)",677,"A-C"
"7",2022,"D","Aberdeen City","rental (private)",454,"D-G"
"8",2022,"E","Aberdeen City","rental (private)",88,"D-G"
"9",2022,"F","Aberdeen City","rental (private)",38,"D-G"
"10",2022,"G","Aberdeen City","rental (private)",3,"D-G"
"11",2022,"A","Aberdeenshire","rental (private)",16,"A-C"
"12",2022,"B","Aberdeenshire","rental (private)",36,"A-C"
"13",2022,"C","Aberdeenshire","rental (private)",192,"A-C"
"14",2022,"D","Aberdeenshire","rental (private)",177,"D-G"
"15",2022,"E","Aberdeenshire","rental (private)",116,"D-G"
"16",2022,"F","Aberdeenshire","rental (private)",78,"D-G"
"17",2022,"G","Aberdeenshire","rental (private)",14,"D-G"
"18",2022,"B","Angus","rental (private)",13,"A-C"
"19",2022,"C","Angus","rental (private)",152,"A-C"
"20",2022,"D","Angus","rental (private)",112,"D-G"
"21",2022,"E","Angus","rental (private)",82,"D-G"
"22",2022,"F","Angus","rental (private)",21,"D-G"
"23",2022,"G","Angus","rental (private)",13,"D-G"
"24",2022,"B","Argyll and Bute","rental (private)",4,"A-C"
"25",2022,"C","Argyll and Bute","rental (private)",165,"A-C"
"26",2022,"D","Argyll and Bute","rental (private)",204,"D-G"
"27",2022,"E","Argyll and Bute","rental (private)",131,"D-G"
"28",2022,"F","Argyll and Bute","rental (private)",81,"D-G"
"29",2022,"G","Argyll and Bute","rental (private)",25,"D-G"
"30",2022,"B","Clackmannanshire","rental (private)",4,"A-C"
"31",2022,"C","Clackmannanshire","rental (private)",79,"A-C"
"32",2022,"D","Clackmannanshire","rental (private)",43,"D-G"
"33",2022,"E","Clackmannanshire","rental (private)",6,"D-G"
"34",2022,"A","Dumfries and Galloway","rental (private)",1,"A-C"
"35",2022,"B","Dumfries and Galloway","rental (private)",12,"A-C"
"36",2022,"C","Dumfries and Galloway","rental (private)",205,"A-C"
"37",2022,"D","Dumfries and Galloway","rental (private)",306,"D-G"
"38",2022,"E","Dumfries and Galloway","rental (private)",278,"D-G"
"39",2022,"F","Dumfries and Galloway","rental (private)",120,"D-G"
"40",2022,"G","Dumfries and Galloway","rental (private)",24,"D-G"
"41",2022,"B","Dundee City","rental (private)",34,"A-C"
"42",2022,"C","Dundee City","rental (private)",500,"A-C"
"43",2022,"D","Dundee City","rental (private)",301,"D-G"
"44",2022,"E","Dundee City","rental (private)",90,"D-G"
"45",2022,"F","Dundee City","rental (private)",16,"D-G"
"46",2022,"G","Dundee City","rental (private)",3,"D-G"
"47",2022,"B","East Ayrshire","rental (private)",8,"A-C"
"48",2022,"C","East Ayrshire","rental (private)",190,"A-C"
"49",2022,"D","East Ayrshire","rental (private)",138,"D-G"
"50",2022,"E","East Ayrshire","rental (private)",22,"D-G"
"51",2022,"F","East Ayrshire","rental (private)",7,"D-G"
"52",2022,"G","East Ayrshire","rental (private)",3,"D-G"
"53",2022,"B","East Dunbartonshire","rental (private)",2,"A-C"
"54",2022,"C","East Dunbartonshire","rental (private)",59,"A-C"
"55",2022,"D","East Dunbartonshire","rental (private)",35,"D-G"
"56",2022,"E","East Dunbartonshire","rental (private)",5,"D-G"
"57",2022,"F","East Dunbartonshire","rental (private)",1,"D-G"
"58",2022,"B","East Lothian","rental (private)",9,"A-C"
"59",2022,"C","East Lothian","rental (private)",96,"A-C"
"60",2022,"D","East Lothian","rental (private)",70,"D-G"
"61",2022,"E","East Lothian","rental (private)",47,"D-G"
"62",2022,"F","East Lothian","rental (private)",15,"D-G"
"63",2022,"G","East Lothian","rental (private)",4,"D-G"
"64",2022,"B","East Renfrewshire","rental (private)",3,"A-C"
"65",2022,"C","East Renfrewshire","rental (private)",59,"A-C"
"66",2022,"D","East Renfrewshire","rental (private)",50,"D-G"
"67",2022,"E","East Renfrewshire","rental (private)",7,"D-G"
"68",2022,"F","East Renfrewshire","rental (private)",3,"D-G"
"69",2022,"G","East Renfrewshire","rental (private)",1,"D-G"
"70",2022,"A","Edinburgh City","rental (private)",1,"A-C"
