"","currentLAlabel","AtoC_13_17","DtoG_13_17","AtoC_14_18","DtoG_14_18","AtoC_15_19","DtoG_15_19","AtoC_16_20","DtoG_16_20","AtoC_17_21","DtoG_17_21","AtoC_18_22","DtoG_18_22","tenureclean"
"1","York",2736,123,3741,157,5271,181,6426,186,7582,215,8693,231,"rental (private)"
"2","Wyre Forest",1317,94,1234,74,1558,79,1927,83,2203,92,2548,104,"rental (private)"
"3","Wyre",3329,325,2831,279,2786,261,2657,228,2739,208,2891,190,"rental (private)"
"4","Wychavon",1430,97,1452,102,1843,138,2179,163,2797,183,3928,186,"rental (private)"
"5","Wrexham",1754,93,1660,91,2072,91,2357,84,2693,84,2952,89,"rental (private)"
"6","Worthing",1760,272,2094,318,2460,327,2826,298,3261,307,3557,314,"rental (private)"
"7","Worcester",2085,100,1966,92,2310,120,2657,154,3012,180,3459,197,"rental (private)"
"8","Wolverhampton",6961,628,6382,547,5312,482,4691,271,4642,258,5274,253,"rental (private)"
"9","Wokingham",1224,70,1344,84,1951,99,2640,124,3149,121,3616,128,"rental (private)"
"10","Woking",915,65,1212,73,1857,89,2298,103,3035,128,4117,121,"rental (private)"
"11","Wirral",9403,743,8108,644,7859,660,8092,609,8442,582,9161,562,"rental (private)"
"12","Windsor and Maidenhead",1996,198,2127,209,3139,243,3798,260,4235,270,4802,275,"rental (private)"
"13","Winchester",1114,108,1444,126,2232,157,2693,171,3116,185,3593,191,"rental (private)"
"14","Wiltshire",5719,394,6657,467,9130,572,11285,627,13402,653,14803,684,"rental (private)"
"15","Wigan",5800,391,4460,359,4733,430,5405,429,6044,356,7566,391,"rental (private)"
"16","Westminster",9984,1440,10573,1473,14081,1614,17486,1713,20326,1820,23065,1816,"rental (private)"
"17","West Suffolk",2913,193,3487,229,4590,234,5623,260,6674,271,7993,310,"rental (private)"
"18","West Oxfordshire",1248,90,1368,109,2127,206,2936,231,3667,255,4084,255,"rental (private)"
"19","West Northamptonshire",5295,332,7097,376,9355,465,11202,482,12506,506,13622,504,"rental (private)"
"20","West Lindsey",1960,87,2037,85,2327,86,2764,87,2687,91,3000,100,"rental (private)"
"21","West Lancashire",2008,94,1741,86,1409,75,1167,87,1229,88,1387,101,"rental (private)"
"22","West Devon",925,74,949,87,1149,103,1387,118,1600,124,1763,129,"rental (private)"
"23","West Berkshire",2357,179,2653,201,3208,207,3815,260,4184,247,4657,245,"rental (private)"
"24","Welwyn Hatfield",1523,53,1786,83,2339,94,2647,100,3240,111,3559,110,"rental (private)"
"25","Wealden",1361,130,1430,135,1673,133,1837,152,2132,153,2528,170,"rental (private)"
"26","Waverley",1188,121,1301,116,1562,120,1797,133,2024,126,2380,115,"rental (private)"
"27","Watford",1444,127,1643,149,2370,174,3009,197,3826,218,4478,195,"rental (private)"
"28","Warwick",2256,172,2821,215,3966,293,4718,332,5223,348,5844,388,"rental (private)"
"29","Warrington",2492,119,2535,131,3146,156,3594,153,4323,154,5025,145,"rental (private)"
"30","Wandsworth",8226,1159,8624,1151,12380,1421,15547,1580,17915,1605,19688,1621,"rental (private)"
"31","Waltham Forest",9883,1192,9910,1172,11489,1324,11728,1135,12897,1147,13623,1139,"rental (private)"
"32","Walsall",4384,294,4153,320,4002,331,4869,339,5109,359,5628,362,"rental (private)"
"33","Wakefield",4759,229,4934,256,5494,274,6060,255,6616,267,7705,275,"rental (private)"
"34","Vale of White Horse",1296,80,1543,87,2179,119,2684,138,3165,144,3672,155,"rental (private)"
"35","Vale of Glamorgan",2073,128,2144,129,2360,158,2795,150,3430,152,3827,160,"rental (private)"
"36","Uttlesford",748,66,942,57,1147,62,1411,87,1578,101,1716,111,"rental (private)"
"37","Tunbridge Wells",1520,159,1716,180,2123,203,2544,225,2924,278,3326,295,"rental (private)"
"38","Trafford",3305,402,3386,422,3904,430,4418,387,4822,362,5487,383,"rental (private)"
"39","Tower Hamlets",8184,861,8825,904,13430,1003,17441,1054,20794,1086,23848,1112,"rental (private)"
"40","Torridge",1105,141,1181,142,1498,172,1764,171,1983,145,2267,147,"rental (private)"
"41","Torfaen",817,64,714,51,723,51,927,39,1010,24,1189,24,"rental (private)"
"42","Torbay",4117,556,4103,563,4561,575,5165,560,5743,577,6206,568,"rental (private)"
"43","Tonbridge and Malling",1018,76,1122,86,1392,98,1689,109,2005,118,2399,126,"rental (private)"
"44","Thurrock",2281,127,2133,100,2738,116,3232,129,3774,137,4342,149,"rental (private)"
"45","Three Rivers",696,44,776,44,1028,51,1242,51,1516,64,1828,69,"rental (private)"
"46","Thanet",3359,385,3371,422,3748,429,4658,488,5330,516,5836,520,"rental (private)"
"47","Tewkesbury",833,66,893,72,1240,92,1608,89,1923,99,2288,111,"rental (private)"
"48","Test Valley",1242,106,1417,120,1979,136,2283,138,2607,132,2909,138,"rental (private)"
"49","Tendring",2488,223,2537,230,3161,267,3931,293,4501,323,5129,343,"rental (private)"
"50","Telford and Wrekin",3672,84,3171,86,3395,97,3702,99,4313,109,5102,115,"rental (private)"
"51","Teignbridge",2162,201,2257,202,2484,212,2808,234,3178,249,3522,269,"rental (private)"
"52","Tandridge",738,85,793,98,897,92,1158,94,1310,92,1474,97,"rental (private)"
"53","Tamworth",768,37,701,30,671,24,865,23,987,21,1214,30,"rental (private)"
"54","Tameside",5170,250,4516,245,4136,259,4074,249,4352,246,4797,238,"rental (private)"
"55","Swindon",3096,154,2711,111,3465,137,4411,176,5454,185,6364,201,"rental (private)"
"56","Swansea",4376,208,4593,213,5443,249,6291,230,7653,217,8504,223,"rental (private)"
"57","Swale",2070,112,2089,134,2687,171,3280,182,3686,215,4256,225,"rental (private)"
"58","Sutton",2494,311,2729,307,3509,345,4133,387,4874,421,5337,434,"rental (private)"
"59","Surrey Heath",771,77,912,73,1159,58,1400,61,1577,60,1739,64,"rental (private)"
"60","Sunderland",6292,594,5158,428,4504,375,4838,350,5027,315,5784,324,"rental (private)"
"61","Stroud",1187,74,1256,75,1619,95,2043,113,2374,128,2644,137,"rental (private)"
"62","Stratford-on-Avon",1851,115,2093,145,2427,168,2682,194,3048,217,3394,240,"rental (private)"
"63","Stoke-on-Trent",6143,159,5618,195,5512,229,5919,196,6444,203,7465,214,"rental (private)"
"64","Stockton-on-Tees",5006,211,4445,182,4042,189,4083,166,4229,152,4702,151,"rental (private)"
"65","Stockport",4279,340,4024,329,4144,365,4371,372,4492,367,5003,399,"rental (private)"
"66","Stevenage",882,36,864,47,1118,60,1296,63,1525,70,1705,72,"rental (private)"
"67","Staffordshire Moorlands",874,48,904,54,1016,60,1170,57,1281,60,1518,66,"rental (private)"
"68","Stafford",1745,93,1789,105,2041,121,2287,122,2576,122,2778,119,"rental (private)"
"69","St. Helens",3070,110,2592,115,2773,166,2925,170,3323,167,3830,170,"rental (private)"
"70","St Albans",1744,113,1772,128,2241,148,2941,165,3574,189,3898,201,"rental (private)"
"71","Spelthorne",1521,126,1412,128,1610,124,1892,138,2248,134,2546,132,"rental (private)"
"72","Southwark",6855,915,6916,828,8652,902,11035,956,12942,1027,14789,1061,"rental (private)"
"73","Southend-on-Sea",3840,648,3935,608,4644,629,5889,699,6866,710,8081,793,"rental (private)"
"74","Southampton",5368,708,6228,825,8572,990,10138,977,11513,1061,12423,1005,"rental (private)"
"75","South Tyneside",2011,250,1729,154,1665,135,1854,135,2005,139,2234,147,"rental (private)"
"76","South Staffordshire",1072,68,1036,67,1091,64,1157,64,1226,61,1382,65,"rental (private)"
"77","South Somerset",1782,126,1970,153,2619,200,3242,226,3958,248,4456,248,"rental (private)"
"78","South Ribble",1281,65,1237,73,1346,70,1423,75,1597,79,1819,85,"rental (private)"
"79","South Oxfordshire",1391,114,1617,168,2353,203,3020,206,3512,221,3885,227,"rental (private)"
"80","South Norfolk",1337,95,1477,102,2000,113,2384,116,2673,134,3127,149,"rental (private)"
"81","South Lakeland",1358,134,1516,135,1834,155,2162,170,2676,207,2981,201,"rental (private)"
"82","South Kesteven",1686,115,1929,141,2673,159,3223,159,4080,160,4605,173,"rental (private)"
"83","South Holland",1199,77,1242,74,1462,80,1606,66,1818,70,2189,83,"rental (private)"
"84","South Hams",1584,131,1615,131,1742,144,1981,156,2255,169,2451,185,"rental (private)"
"85","South Gloucestershire",3429,174,3366,154,3832,187,4724,200,5716,203,6652,214,"rental (private)"
