"","LOCAL_AUTHORITY_LABEL","insp_yr","AtoC","DtoG","tenureclean"
"1","West Lothian",2013,164,192,"rental (private)"
"2","West Lothian",2014,121,196,"rental (private)"
"3","West Lothian",2015,106,246,"rental (private)"
"4","West Lothian",2016,123,148,"rental (private)"
"5","West Lothian",2017,94,97,"rental (private)"
"6","West Lothian",2018,78,62,"rental (private)"
"7","West Lothian",2019,177,143,"rental (private)"
"8","West Lothian",2020,129,82,"rental (private)"
"9","West Lothian",2021,115,73,"rental (private)"
"10","West Lothian",2022,260,111,"rental (private)"
"11","West Dunbartonshire",2013,34,79,"rental (private)"
"12","West Dunbartonshire",2014,44,70,"rental (private)"
"13","West Dunbartonshire",2015,22,47,"rental (private)"
"14","West Dunbartonshire",2016,35,104,"rental (private)"
"15","West Dunbartonshire",2017,39,48,"rental (private)"
"16","West Dunbartonshire",2018,48,29,"rental (private)"
"17","West Dunbartonshire",2019,50,48,"rental (private)"
"18","West Dunbartonshire",2020,59,67,"rental (private)"
"19","West Dunbartonshire",2021,70,49,"rental (private)"
"20","West Dunbartonshire",2022,65,52,"rental (private)"
"21","Stirling",2013,48,121,"rental (private)"
"22","Stirling",2014,85,124,"rental (private)"
"23","Stirling",2015,30,91,"rental (private)"
"24","Stirling",2016,71,124,"rental (private)"
"25","Stirling",2017,34,93,"rental (private)"
"26","Stirling",2018,68,99,"rental (private)"
"27","Stirling",2019,114,147,"rental (private)"
"28","Stirling",2020,121,154,"rental (private)"
"29","Stirling",2021,157,148,"rental (private)"
"30","Stirling",2022,154,149,"rental (private)"
"31","South Lanarkshire",2013,210,345,"rental (private)"
"32","South Lanarkshire",2014,259,424,"rental (private)"
"33","South Lanarkshire",2015,161,334,"rental (private)"
"34","South Lanarkshire",2016,143,260,"rental (private)"
"35","South Lanarkshire",2017,142,244,"rental (private)"
"36","South Lanarkshire",2018,180,178,"rental (private)"
"37","South Lanarkshire",2019,335,335,"rental (private)"
"38","South Lanarkshire",2020,291,333,"rental (private)"
"39","South Lanarkshire",2021,357,304,"rental (private)"
"40","South Lanarkshire",2022,293,260,"rental (private)"
"41","South Ayrshire",2013,97,243,"rental (private)"
"42","South Ayrshire",2014,138,230,"rental (private)"
"43","South Ayrshire",2015,63,168,"rental (private)"
"44","South Ayrshire",2016,61,138,"rental (private)"
"45","South Ayrshire",2017,102,168,"rental (private)"
"46","South Ayrshire",2018,75,141,"rental (private)"
"47","South Ayrshire",2019,147,227,"rental (private)"
"48","South Ayrshire",2020,170,143,"rental (private)"
"49","South Ayrshire",2021,167,215,"rental (private)"
"50","South Ayrshire",2022,144,229,"rental (private)"
"51","Shetland Islands",2013,5,12,"rental (private)"
"52","Shetland Islands",2014,11,39,"rental (private)"
"53","Shetland Islands",2015,9,31,"rental (private)"
"54","Shetland Islands",2016,9,19,"rental (private)"
"55","Shetland Islands",2017,3,22,"rental (private)"
"56","Shetland Islands",2018,8,36,"rental (private)"
"57","Shetland Islands",2019,NA,41,"rental (private)"
"58","Shetland Islands",2020,8,17,"rental (private)"
"59","Shetland Islands",2021,4,46,"rental (private)"
"60","Shetland Islands",2022,17,44,"rental (private)"
"61","Scottish Borders",2013,57,239,"rental (private)"
"62","Scottish Borders",2014,77,224,"rental (private)"
"63","Scottish Borders",2015,44,228,"rental (private)"
"64","Scottish Borders",2016,39,229,"rental (private)"
"65","Scottish Borders",2017,54,212,"rental (private)"
"66","Scottish Borders",2018,63,323,"rental (private)"
"67","Scottish Borders",2019,105,372,"rental (private)"
"68","Scottish Borders",2020,76,283,"rental (private)"
"69","Scottish Borders",2021,69,310,"rental (private)"
"70","Scottish Borders",2022,107,360,"rental (private)"
"71","Renfrewshire",2013,119,197,"rental (private)"
"72","Renfrewshire",2014,184,327,"rental (private)"
"73","Renfrewshire",2015,94,223,"rental (private)"
"74","Renfrewshire",2016,114,175,"rental (private)"
"75","Renfrewshire",2017,97,140,"rental (private)"
"76","Renfrewshire",2018,138,110,"rental (private)"
"77","Renfrewshire",2019,288,234,"rental (private)"
"78","Renfrewshire",2020,255,239,"rental (private)"
"79","Renfrewshire",2021,271,235,"rental (private)"
"80","Renfrewshire",2022,419,241,"rental (private)"
"81","Perth and Kinross",2013,123,307,"rental (private)"
"82","Perth and Kinross",2014,104,344,"rental (private)"
"83","Perth and Kinross",2015,115,267,"rental (private)"
"84","Perth and Kinross",2016,96,288,"rental (private)"
"85","Perth and Kinross",2017,117,317,"rental (private)"
"86","Perth and Kinross",2018,122,356,"rental (private)"
"87","Perth and Kinross",2019,201,416,"rental (private)"
"88","Perth and Kinross",2020,213,499,"rental (private)"
"89","Perth and Kinross",2021,222,370,"rental (private)"
"90","Perth and Kinross",2022,258,530,"rental (private)"
"91","Orkney Islands",2013,10,29,"rental (private)"
"92","Orkney Islands",2014,29,37,"rental (private)"
"93","Orkney Islands",2015,8,23,"rental (private)"
"94","Orkney Islands",2016,15,25,"rental (private)"
"95","Orkney Islands",2017,5,27,"rental (private)"
"96","Orkney Islands",2018,5,31,"rental (private)"
"97","Orkney Islands",2019,13,56,"rental (private)"
"98","Orkney Islands",2020,15,61,"rental (private)"
"99","Orkney Islands",2021,31,100,"rental (private)"
"100","Orkney Islands",2022,47,124,"rental (private)"
"101","North Lanarkshire",2013,205,407,"rental (private)"
"102","North Lanarkshire",2014,222,403,"rental (private)"
"103","North Lanarkshire",2015,148,339,"rental (private)"
"104","North Lanarkshire",2016,143,255,"rental (private)"
"105","North Lanarkshire",2017,124,183,"rental (private)"
"106","North Lanarkshire",2018,136,123,"rental (private)"
"107","North Lanarkshire",2019,214,229,"rental (private)"
"108","North Lanarkshire",2020,213,256,"rental (private)"
"109","North Lanarkshire",2021,298,262,"rental (private)"
"110","North Lanarkshire",2022,290,242,"rental (private)"
"111","North Ayrshire",2013,121,271,"rental (private)"
"112","North Ayrshire",2014,136,302,"rental (private)"
"113","North Ayrshire",2015,120,292,"rental (private)"
"114","North Ayrshire",2016,66,238,"rental (private)"
