insp_yr,CURRENT_ENERGY_RATING,LOCAL_AUTHORITY_LABEL,tenureclean,certs_count
2022,A,,rental (private),5
2022,B,,rental (private),222
2022,C,,rental (private),140
2022,D,,rental (private),15
2022,B,Aberdeen City,rental (private),161
2022,C,Aberdeen City,rental (private),677
2022,D,Aberdeen City,rental (private),454
2022,E,Aberdeen City,rental (private),88
2022,F,Aberdeen City,rental (private),38
2022,G,Aberdeen City,rental (private),3
2022,A,Aberdeenshire,rental (private),16
2022,B,Aberdeenshire,rental (private),36
2022,C,Aberdeenshire,rental (private),192
2022,D,Aberdeenshire,rental (private),177
2022,E,Aberdeenshire,rental (private),116
2022,F,Aberdeenshire,rental (private),78
2022,G,Aberdeenshire,rental (private),14
2022,B,Angus,rental (private),13
2022,C,Angus,rental (private),152
2022,D,Angus,rental (private),112
2022,E,Angus,rental (private),82
2022,F,Angus,rental (private),21
2022,G,Angus,rental (private),13
2022,B,Argyll and Bute,rental (private),4
2022,C,Argyll and Bute,rental (private),165
2022,D,Argyll and Bute,rental (private),204
2022,E,Argyll and Bute,rental (private),131
2022,F,Argyll and Bute,rental (private),81
2022,G,Argyll and Bute,rental (private),25
2022,B,Clackmannanshire ,rental (private),4
2022,C,Clackmannanshire ,rental (private),79
2022,D,Clackmannanshire ,rental (private),43
2022,E,Clackmannanshire ,rental (private),6
2022,A,Dumfries and Galloway,rental (private),1
2022,B,Dumfries and Galloway,rental (private),12
2022,C,Dumfries and Galloway,rental (private),205
2022,D,Dumfries and Galloway,rental (private),306
2022,E,Dumfries and Galloway,rental (private),278
2022,F,Dumfries and Galloway,rental (private),120
2022,G,Dumfries and Galloway,rental (private),24
2022,B,Dundee City,rental (private),34
2022,C,Dundee City,rental (private),500
2022,D,Dundee City,rental (private),301
2022,E,Dundee City,rental (private),90
2022,F,Dundee City,rental (private),16
2022,G,Dundee City,rental (private),3
2022,B,East Ayrshire,rental (private),8
2022,C,East Ayrshire,rental (private),190
2022,D,East Ayrshire,rental (private),138
2022,E,East Ayrshire,rental (private),22
2022,F,East Ayrshire,rental (private),7
2022,G,East Ayrshire,rental (private),3
2022,B,East Dunbartonshire,rental (private),2
2022,C,East Dunbartonshire,rental (private),59
